F,R,I
10000000,0.852523499,-0.53152385
20000000,0.441748062,-0.900182152
30000000,-0.09884773,-0.993231259
40000000,-0.603830092,-0.787843218
50000000,-0.922716169,-0.35024645
60000000,-0.964055181,0.186316085
70000000,-0.719981165,0.662046481
80000000,-0.265458049,0.938691795
90000000,0.263336114,0.938678669
100000000,0.714581767,0.662995975
110000000,0.957762087,0.192766793
120000000,0.917683793,-0.338473071
130000000,0.601907085,-0.77186073
140000000,0.102166856,-0.972128577
150000000,-0.427884712,-0.875406076
160000000,-0.822389037,-0.514719349
170000000,-0.965786397,-0.006322536
180000000,-0.824460441,0.497237871
190000000,-0.446182106,0.851042197
200000000,0.060658038,0.959341046
210000000,0.552201005,0.788936618
220000000,0.885030119,0.386422364
230000000,0.958635361,-0.136399911
240000000,0.74285414,-0.620543544
250000000,0.301446798,-0.918433596
260000000,-0.229512354,-0.936393974
270000000,-0.687333217,-0.67041795
280000000,-0.934263606,-0.206341314
290000000,-0.899821366,0.313746032
300000000,-0.602611727,0.735576238
310000000,-0.13413932,0.941356656
320000000,0.371875301,0.876401965
330000000,0.773316037,0.559827205
340000000,0.954321502,0.076773304
350000000,0.85434003,-0.436348469
360000000,0.4931106,-0.822922374
370000000,-0.02299889,-0.956628727
380000000,-0.529215563,-0.792484215
390000000,-0.865351119,-0.38739679
400000000,-0.935714049,0.126370541
410000000,-0.731160302,0.59406223
420000000,-0.319672808,0.885902339
430000000,0.180764926,0.925904767
440000000,0.631951753,0.704031406
450000000,0.907356789,0.278404854
460000000,0.92234176,-0.233717067
470000000,0.662501559,-0.683723901
480000000,0.198316776,-0.929709089
490000000,-0.328562687,-0.88849171
500000000,-0.750210832,-0.56991703
510000000,-0.933832103,-0.079984906
520000000,-0.831421902,0.424527954
530000000,-0.487613335,0.794947995
540000000,-0.009996054,0.934105272
550000000,0.468805392,0.811751291
560000000,0.820109973,0.462461744
570000000,0.944440791,-0.024065229
580000000,0.794998235,-0.513060958
590000000,0.402892297,-0.854880531
600000000,-0.117914077,-0.934561496
610000000,-0.599368612,-0.720856643
620000000,-0.887664633,-0.284479068
630000000,-0.899466715,0.231440812
640000000,-0.641497133,0.668119702
650000000,-0.198383252,0.904738397
660000000,0.296881989,0.879618512
670000000,0.708679204,0.604115705
680000000,0.922941383,0.157151902
690000000,0.876308841,-0.339018652
700000000,0.575892199,-0.745768807
710000000,0.099646826,-0.935415684
720000000,-0.408205396,-0.84114893
730000000,-0.793638354,-0.484913365
740000000,-0.921070628,0.021085304
750000000,-0.763491896,0.509170313
760000000,-0.378967782,0.834600855
770000000,0.10912586,0.912313094
780000000,0.562664911,0.733038533
790000000,0.861378111,0.348662587
800000000,0.923333432,-0.138226779
810000000,0.722560113,-0.594897353
820000000,0.303764946,-0.884155739
830000000,-0.212957131,-0.907007695
840000000,-0.664326389,-0.645255143
850000000,-0.90200518,-0.182124528
860000000,-0.853536678,0.330114933
870000000,-0.54542832,0.731378497
880000000,-0.080402925,0.90863266
890000000,0.402232842,0.821938375
900000000,0.769595154,0.503144443
910000000,0.924573661,0.042382821
920000000,0.821461033,-0.43655928
930000000,0.48075496,-0.799389039
940000000,-0.007590955,-0.931246678
950000000,-0.498702552,-0.779891838
960000000,-0.833152624,-0.385003162
970000000,-0.90127201,0.126212938
980000000,-0.686797221,0.589655575
990000000,-0.266870793,0.864273717
1000000000,0.232226982,0.865342061
1010000000,0.651125345,0.624106329
1020000000,0.884909614,0.204744477
1030000000,0.869998237,-0.275758556
1040000000,0.609208439,-0.682836879
1050000000,0.171071134,-0.897665363
1060000000,-0.321554886,-0.851034125
1070000000,-0.71922876,-0.547695435
1080000000,-0.894500656,-0.075689736
1090000000,-0.788636727,0.417316102
1100000000,-0.438606309,0.773916275
1110000000,0.040942802,0.888103504
1120000000,0.501849725,0.737095372
1130000000,0.813726556,0.375378513
1140000000,0.896610041,-0.09226825
1150000000,0.729734903,-0.537614826
1160000000,0.35445871,-0.837514549
1170000000,-0.129705753,-0.899998209
1180000000,-0.581124016,-0.6947741
1190000000,-0.855486984,-0.275259204
1200000000,-0.861010271,0.22761889
1210000000,-0.597313718,0.651374871
1220000000,-0.153800683,0.866698853
1230000000,0.329438202,0.817614257
1240000000,0.711867048,0.528458539
1250000000,0.889098022,0.086247228
1260000000,0.814452082,-0.384373156
1270000000,0.505899105,-0.751154074
1280000000,0.046288723,-0.905451326
1290000000,-0.430771598,-0.79411786
